거래번호,지점,고객타입,성별,제품군,단가,수량,매출액,날짜,시간,지불방식,매출원가,매출이익
466-61-5506,B,회원,여성,컴퓨터 주변기기,"94,328",6,"565,968",2019-02-26,10:52,현금,"544,200","21,768"
721-86-6247,A,비회원,여성,홈데코,"65,957",8,"527,656",2019-03-11,12:55,신용카드,"507,360","20,296"
289-65-5721,B,비회원,여성,패션/액세서리,"84,625",2,"169,250",2019-01-26,19:28,현금,"162,740","6,510"
545-46-3100,B,회원,여성,컴퓨터 주변기기,"11,014",3,"33,042",2019-03-12,13:52,신용카드,"31,770","1,272"
418-02-5978,B,비회원,여성,헬스/뷰티,"87,454",9,"787,086",2019-02-11,10:54,현금,"756,810","30,276"
269-04-5750,B,회원,남성,패션/액세서리,"76,773",4,"307,092",2019-02-21,18:31,현금,"295,280","11,812"
157-13-5295,A,회원,남성,헬스/뷰티,"54,018",10,"540,180",2019-03-09,18:24,신용카드,"519,400","20,780"
645-78-8093,A,비회원,여성,스포츠/여행,"96,866",2,"193,732",2019-01-20,18:09,신용카드,"186,280","7,452"
211-30-9270,C,비회원,남성,헬스/뷰티,"18,106",5,"90,530",2019-01-28,15:16,신용카드,"87,050","3,480"
755-12-3214,C,회원,여성,패션/액세서리,"45,989",5,"229,945",2019-03-05,17:07,신용카드,"221,100","8,845"
346-84-3103,B,회원,여성,컴퓨터 주변기기,"13,749",5,"68,745",2019-03-02,19:26,현금,"66,100","2,645"
478-06-7835,A,비회원,남성,패션/액세서리,"93,278",1,"93,278",2019-01-11,11:20,신용카드,"89,690","3,588"
540-11-4336,A,비회원,남성,식품/음료,"25,938",9,"233,442",2019-01-11,16:49,신용카드,"224,460","8,982"
448-81-5016,A,비회원,남성,헬스/뷰티,"62,161",2,"124,322",2019-03-11,12:01,신용카드,"119,540","4,782"
142-72-4741,C,회원,남성,패션/액세서리,"96,928",2,"193,856",2019-02-28,18:37,신용카드,"186,400","7,456"
217-58-1179,A,회원,남성,홈데코,"65,156",4,"260,624",2019-01-05,11:25,현금,"250,600","10,024"
376-02-8238,B,비회원,남성,홈데코,"97,625",8,"781,000",2019-02-02,18:42,신용카드,"750,960","30,040"
530-90-9855,A,회원,남성,홈데코,"49,494",8,"395,952",2019-01-01,14:47,현금,"380,720","15,232"
866-05-7563,B,회원,여성,컴퓨터 주변기기,"84,656",3,"253,968",2019-02-09,19:43,현금,"244,200","9,768"
604-70-6476,A,회원,남성,패션/액세서리,"18,658",5,"93,290",2019-01-23,14:04,신용카드,"89,700","3,590"
799-71-1548,A,회원,남성,컴퓨터 주변기기,"80,829",4,"323,316",2019-01-07,16:11,신용카드,"310,880","12,436"
785-13-7708,B,비회원,남성,식품/음료,"75,982",7,"531,874",2019-01-14,19:06,신용카드,"511,420","20,454"
845-51-0542,B,회원,남성,식품/음료,"48,412",9,"435,708",2019-02-02,15:34,신용카드,"418,950","16,758"
662-47-5456,C,회원,남성,패션/액세서리,"36,598",10,"365,980",2019-03-17,19:06,신용카드,"351,900","14,080"
883-17-4236,C,비회원,여성,스포츠/여행,"14,966",2,"29,932",2019-03-02,19:44,신용카드,"28,780","1,152"
290-68-2984,A,비회원,남성,홈데코,"24,700",4,"98,800",2019-03-16,11:22,현금,"95,000","3,800"
704-11-6354,A,회원,남성,홈데코,"61,256",8,"490,048",2019-01-06,11:23,현금,"471,200","18,848"
110-48-7033,B,회원,남성,패션/액세서리,"33,925",4,"135,700",2019-01-29,14:12,현금,"130,480","5,220"
366-93-0948,A,회원,남성,컴퓨터 주변기기,"69,004",1,"69,004",2019-01-31,10:46,신용카드,"66,350","2,654"
729-09-9681,A,회원,남성,홈데코,"26,946",6,"161,676",2019-02-05,10:16,신용카드,"155,460","6,216"
151-16-1484,A,회원,남성,컴퓨터 주변기기,"33,540",4,"134,160",2019-02-13,12:38,신용카드,"129,000","5,160"
380-94-4661,C,회원,남성,컴퓨터 주변기기,"68,578",4,"274,312",2019-02-07,13:05,신용카드,"263,760","10,552"
850-41-9669,A,비회원,여성,컴퓨터 주변기기,"78,062",9,"702,558",2019-03-19,13:25,신용카드,"675,540","27,018"
821-07-3596,C,비회원,여성,패션/액세서리,"17,108",4,"68,432",2019-03-07,14:53,신용카드,"65,800","2,632"
655-85-5130,B,회원,여성,패션/액세서리,"39,832",4,"159,328",2019-03-13,19:22,현금,"153,200","6,128"
447-15-7839,A,회원,여성,스포츠/여행,"23,130",10,"231,300",2019-02-09,11:00,현금,"222,400","8,900"
154-74-7179,B,비회원,남성,스포츠/여행,"56,628",1,"56,628",2019-02-26,19:24,신용카드,"54,450","2,178"
253-12-6086,A,회원,여성,스포츠/여행,"102,336",7,"716,352",2019-03-12,12:43,신용카드,"688,800","27,552"
808-65-0703,C,비회원,남성,홈데코,"36,889",4,"147,556",2019-03-14,17:22,신용카드,"141,880","5,676"
571-94-0759,B,회원,여성,식품/음료,"77,584",10,"775,840",2019-01-08,20:55,현금,"746,000","29,840"
144-51-6085,A,회원,남성,홈데코,"73,570",4,"294,280",2019-01-05,16:05,신용카드,"282,960","11,320"
731-14-2199,A,회원,여성,홈데코,"36,962",10,"369,620",2019-01-04,13:34,신용카드,"355,400","14,220"
783-09-1637,B,비회원,여성,스포츠/여행,"70,127",5,"350,635",2019-03-06,18:13,신용카드,"337,150","13,485"
687-15-1097,C,회원,여성,헬스/뷰티,"21,965",2,"43,930",2019-01-03,19:17,현금,"42,240","1,690"
126-54-1082,A,회원,여성,홈데코,"22,402",9,"201,618",2019-01-07,11:44,신용카드,"193,860","7,758"
633-91-1052,A,비회원,여성,홈데코,"12,511",2,"25,022",2019-01-27,15:51,현금,"24,060",962
477-24-6490,B,비회원,여성,헬스/뷰티,"103,698",6,"622,188",2019-02-26,16:52,신용카드,"598,260","23,928"
566-19-5475,B,비회원,남성,패션/액세서리,"49,889",7,"349,223",2019-01-07,20:52,현금,"335,790","13,433"
526-86-8552,C,회원,여성,홈데코,"22,693",10,"226,930",2019-01-07,17:36,현금,"218,200","8,730"
376-56-3573,C,비회원,여성,패션/액세서리,"99,237",4,"396,948",2019-02-02,13:23,신용카드,"381,680","15,268"
537-72-0426,C,회원,남성,패션/액세서리,"73,830",10,"738,300",2019-03-20,16:28,현금,"709,900","28,400"
828-61-5674,A,회원,남성,스포츠/여행,"45,781",10,"457,810",2019-03-20,19:57,신용카드,"440,200","17,610"
136-08-6195,A,비회원,여성,홈데코,"72,758",8,"582,064",2019-02-15,17:01,신용카드,"559,680","22,384"
523-38-0215,C,비회원,남성,홈데코,"38,480",1,"38,480",2019-03-06,13:29,신용카드,"37,000","1,480"
490-29-1201,A,비회원,여성,스포츠/여행,"15,954",1,"15,954",2019-01-06,11:09,현금,"15,340",614
667-92-0055,A,회원,남성,헬스/뷰티,"103,823",6,"622,938",2019-03-04,15:02,신용카드,"598,980","23,958"
565-17-3836,A,회원,여성,헬스/뷰티,"49,577",4,"198,308",2019-03-12,14:21,현금,"190,680","7,628"
498-41-1961,B,비회원,남성,헬스/뷰티,"69,347",5,"346,735",2019-02-20,18:01,현금,"333,400","13,335"
593-95-4461,C,회원,남성,홈데코,"77,854",1,"77,854",2019-03-24,14:49,현금,"74,860","2,994"
226-71-3580,C,비회원,여성,스포츠/여행,"24,700",9,"222,300",2019-01-31,12:02,현금,"213,750","8,550"
283-79-9594,B,비회원,여성,식품/음료,"50,450",7,"353,150",2019-01-25,13:30,신용카드,"339,570","13,580"
430-60-3493,A,회원,여성,홈데코,"98,675",7,"690,725",2019-02-03,14:38,현금,"664,160","26,565"
139-20-0155,B,회원,남성,컴퓨터 주변기기,"41,912",10,"419,120",2019-01-24,17:37,신용카드,"403,000","16,120"
558-80-4082,C,비회원,남성,컴퓨터 주변기기,"28,964",7,"202,748",2019-03-14,17:20,신용카드,"194,950","7,798"
278-97-7759,A,회원,여성,컴퓨터 주변기기,"64,979",1,"64,979",2019-02-18,20:29,현금,"62,480","2,499"
316-68-6352,A,회원,여성,식품/음료,"37,814",2,"75,628",2019-01-21,10:00,현금,"72,720","2,908"
585-03-5943,B,비회원,남성,헬스/뷰티,"18,834",10,"188,340",2019-03-13,11:46,신용카드,"181,100","7,240"
211-05-0490,C,회원,여성,컴퓨터 주변기기,"53,997",5,"269,985",2019-03-03,13:42,현금,"259,600","10,385"
727-75-6477,C,비회원,남성,컴퓨터 주변기기,"29,994",4,"119,976",2019-03-29,14:44,현금,"115,360","4,616"
744-02-5987,A,회원,남성,홈데코,"81,515",6,"489,090",2019-01-10,14:16,신용카드,"470,280","18,810"
307-83-9164,A,회원,남성,홈데코,"62,410",4,"249,640",2019-01-25,15:54,현금,"240,040","9,600"
779-06-0012,C,회원,여성,홈데코,"92,154",1,"92,154",2019-01-19,10:21,현금,"88,610","3,544"
446-47-6729,C,비회원,남성,패션/액세서리,"103,813",2,"207,626",2019-01-02,18:09,신용카드,"199,640","7,986"
573-10-3877,B,회원,남성,헬스/뷰티,"40,570",1,"40,570",2019-03-12,16:46,신용카드,"39,010","1,560"
735-06-4124,C,비회원,남성,식품/음료,"50,554",1,"50,554",2019-02-25,15:31,현금,"48,610","1,944"
439-54-7422,A,비회원,여성,컴퓨터 주변기기,"53,238",4,"212,952",2019-03-18,17:15,신용카드,"204,760","8,192"
396-90-2219,B,비회원,여성,컴퓨터 주변기기,"15,558",8,"124,464",2019-02-23,12:29,현금,"119,680","4,784"
411-77-0180,A,회원,남성,컴퓨터 주변기기,"75,088",7,"525,616",2019-03-26,20:14,신용카드,"505,400","20,216"
286-01-5402,A,비회원,여성,스포츠/여행,"41,839",7,"292,873",2019-03-30,13:22,현금,"281,610","11,263"
803-17-8013,A,회원,여성,홈데코,"92,342",8,"738,736",2019-02-17,17:09,현금,"710,320","28,416"
512-98-1403,A,회원,여성,컴퓨터 주변기기,"27,539",3,"82,617",2019-03-21,10:40,신용카드,"79,440","3,177"
848-42-2560,A,비회원,여성,패션/액세서리,"85,186",2,"170,372",2019-03-05,17:43,현금,"163,820","6,552"
532-59-7201,B,회원,남성,스포츠/여행,"83,127",6,"498,762",2019-01-31,14:04,현금,"479,580","19,182"
181-94-6432,C,회원,남성,패션/액세서리,"72,103",2,"144,206",2019-02-05,19:05,신용카드,"138,660","5,546"
870-76-1733,A,회원,여성,식품/음료,"14,799",5,"73,995",2019-02-01,10:08,신용카드,"71,150","2,845"
423-64-4619,A,회원,여성,헬스/뷰티,"16,172",9,"145,548",2019-03-07,13:12,현금,"139,950","5,598"
227-07-4446,C,회원,여성,컴퓨터 주변기기,"81,255",10,"812,550",2019-02-10,20:51,현금,"781,300","31,250"
174-36-3675,C,회원,남성,식품/음료,"103,345",2,"206,690",2019-02-14,17:29,현금,"198,740","7,950"
428-83-5800,C,회원,여성,식품/음료,"21,923",3,"65,769",2019-02-09,10:25,현금,"63,240","2,529"
603-07-0961,C,회원,남성,컴퓨터 주변기기,"77,782",5,"388,910",2019-01-10,11:34,현금,"373,950","14,960"
704-20-4138,C,회원,여성,헬스/뷰티,"30,857",7,"215,999",2019-03-11,18:58,신용카드,"207,690","8,309"
787-15-1757,C,회원,남성,헬스/뷰티,"45,833",4,"183,332",2019-02-18,16:28,신용카드,"176,280","7,052"
649-11-3678,C,비회원,여성,식품/음료,"23,847",9,"214,623",2019-02-26,20:26,현금,"206,370","8,253"
622-20-1945,C,비회원,여성,헬스/뷰티,"40,997",1,"40,997",2019-01-18,15:08,현금,"39,420","1,577"
372-94-8041,A,비회원,남성,헬스/뷰티,"15,870",6,"95,220",2019-02-15,18:03,신용카드,"91,560","3,660"
563-91-7120,A,비회원,여성,패션/액세서리,"64,241",5,"321,205",2019-03-08,13:21,현금,"308,850","12,355"
746-54-5508,A,비회원,남성,홈데코,"22,381",6,"134,286",2019-01-17,12:48,신용카드,"129,120","5,166"
276-54-0879,B,비회원,남성,스포츠/여행,"101,650",4,"406,600",2019-03-12,19:53,신용카드,"390,960","15,640"
815-11-1168,A,회원,남성,식품/음료,"103,771",5,"518,855",2019-03-09,19:09,현금,"498,900","19,955"
719-76-3868,C,회원,남성,식품/음료,"98,030",4,"392,120",2019-03-12,16:30,현금,"377,040","15,080"
730-61-8757,B,회원,남성,헬스/뷰티,"53,175",4,"212,700",2019-01-25,10:11,신용카드,"204,520","8,180"
340-66-0321,A,회원,남성,컴퓨터 주변기기,"37,814",4,"151,256",2019-03-25,13:07,현금,"145,440","5,816"
868-81-1752,B,비회원,남성,홈데코,"22,901",9,"206,109",2019-02-07,18:48,현금,"198,180","7,929"
634-97-8956,A,비회원,남성,식품/음료,"34,216",3,"102,648",2019-02-17,17:27,신용카드,"98,700","3,948"
566-71-1091,A,비회원,남성,패션/액세서리,"80,101",5,"400,505",2019-02-03,15:59,현금,"385,100","15,405"
442-48-3607,A,회원,남성,식품/음료,"24,419",2,"48,838",2019-03-14,11:21,신용카드,"46,960","1,878"
835-16-0096,C,회원,남성,스포츠/여행,"15,288",5,"76,440",2019-03-24,13:48,신용카드,"73,500","2,940"
527-09-6272,A,회원,여성,컴퓨터 주변기기,"29,588",5,"147,940",2019-03-21,10:17,신용카드,"142,250","5,690"
898-04-2717,A,비회원,남성,패션/액세서리,"79,456",9,"715,104",2019-03-19,15:49,신용카드,"687,600","27,504"
692-27-8933,B,비회원,여성,스포츠/여행,"60,268",6,"361,608",2019-02-24,13:02,현금,"347,700","13,908"
633-09-3463,C,비회원,여성,컴퓨터 주변기기,"49,556",3,"148,668",2019-03-28,12:58,신용카드,"142,950","5,718"
374-17-3652,B,회원,여성,식품/음료,"44,533",9,"400,797",2019-02-05,15:26,신용카드,"385,380","15,417"
378-07-7001,B,회원,남성,컴퓨터 주변기기,"50,014",3,"150,042",2019-02-10,18:23,신용카드,"144,270","5,772"
433-75-6987,B,회원,여성,헬스/뷰티,"58,209",7,"407,463",2019-03-05,19:06,신용카드,"391,790","15,673"
873-95-4984,B,회원,여성,헬스/뷰티,"79,976",7,"559,832",2019-02-15,20:21,현금,"538,300","21,532"
416-13-5917,C,비회원,여성,식품/음료,"100,911",5,"504,555",2019-01-30,16:24,신용카드,"485,150","19,405"
150-89-8043,A,비회원,남성,스포츠/여행,"46,436",3,"139,308",2019-02-14,15:04,현금,"133,950","5,358"
135-84-8019,A,비회원,여성,패션/액세서리,"81,047",9,"729,423",2019-02-27,16:10,신용카드,"701,370","28,053"
441-94-7118,A,회원,남성,컴퓨터 주변기기,"74,828",1,"74,828",2019-02-04,12:14,현금,"71,950","2,878"
725-96-3778,C,회원,여성,홈데코,"92,820",8,"742,560",2019-01-20,10:13,현금,"714,000","28,560"
531-80-1784,A,비회원,남성,컴퓨터 주변기기,"27,061",7,"189,427",2019-03-28,17:38,현금,"182,140","7,287"
400-45-1220,B,비회원,여성,헬스/뷰티,"14,040",10,"140,400",2019-02-27,11:06,신용카드,"135,000","5,400"
860-79-0874,C,회원,여성,패션/액세서리,"103,272",10,"1,032,720",2019-02-15,14:53,신용카드,"993,000","39,720"
834-61-8124,A,비회원,남성,컴퓨터 주변기기,"53,758",7,"376,306",2019-01-26,18:22,현금,"361,830","14,476"
115-99-4379,B,회원,여성,패션/액세서리,"56,919",7,"398,433",2019-03-14,19:02,신용카드,"383,110","15,323"
565-67-6697,B,회원,남성,홈데코,"28,080",9,"252,720",2019-03-02,14:16,현금,"243,000","9,720"
320-49-6392,C,비회원,여성,컴퓨터 주변기기,"31,450",1,"31,450",2019-03-04,15:44,현금,"30,240","1,210"
889-04-9723,B,회원,여성,식품/음료,"92,706",4,"370,824",2019-01-07,12:20,신용카드,"356,560","14,264"
632-90-0281,C,비회원,여성,패션/액세서리,"39,052",10,"390,520",2019-03-08,20:01,신용카드,"375,500","15,020"
554-42-2417,C,비회원,여성,스포츠/여행,"99,258",10,"992,580",2019-01-09,13:45,현금,"954,400","38,180"
453-63-6187,B,비회원,남성,컴퓨터 주변기기,"28,600",3,"85,800",2019-03-01,15:40,신용카드,"82,500","3,300"
578-80-7669,B,비회원,남성,스포츠/여행,"77,969",1,"77,969",2019-03-16,16:58,현금,"74,970","2,999"
612-36-5536,A,회원,남성,식품/음료,"84,198",8,"673,584",2019-02-17,11:12,신용카드,"647,680","25,904"
605-72-4132,C,비회원,여성,식품/음료,"98,249",8,"785,992",2019-02-27,15:12,현금,"755,760","30,232"
471-41-2823,C,비회원,남성,식품/음료,"103,782",2,"207,564",2019-03-07,20:37,신용카드,"199,580","7,984"
462-67-9126,A,비회원,남성,홈데코,"76,149",6,"456,894",2019-01-21,17:44,현금,"439,320","17,574"
272-27-9238,C,비회원,여성,식품/음료,"42,890",4,"171,560",2019-02-19,16:23,현금,"164,960","6,600"
834-25-9262,C,비회원,여성,패션/액세서리,"84,947",4,"339,788",2019-01-06,12:12,현금,"326,720","13,068"
122-61-9553,C,비회원,여성,컴퓨터 주변기기,"53,373",9,"480,357",2019-03-14,19:33,현금,"461,880","18,477"
468-88-0009,A,회원,남성,홈데코,"68,578",4,"274,312",2019-03-24,10:29,현금,"263,760","10,552"
613-59-9758,C,비회원,여성,스포츠/여행,"14,934",10,"149,340",2019-01-27,14:28,현금,"143,600","5,740"
254-31-0042,A,회원,남성,컴퓨터 주변기기,"22,360",9,"201,240",2019-03-06,12:46,신용카드,"193,500","7,740"
201-86-2184,B,회원,여성,컴퓨터 주변기기,"27,310",7,"191,170",2019-02-02,19:40,현금,"183,820","7,350"
261-12-8671,B,비회원,여성,패션/액세서리,"63,398",2,"126,796",2019-01-25,19:39,신용카드,"121,920","4,876"
730-70-9830,C,비회원,여성,홈데코,"72,914",6,"437,484",2019-03-14,17:54,신용카드,"420,660","16,824"
382-25-8917,C,비회원,남성,패션/액세서리,"43,763",6,"262,578",2019-01-29,12:25,현금,"252,480","10,098"
422-29-8786,A,비회원,여성,홈데코,"69,774",5,"348,870",2019-01-03,16:47,신용카드,"335,450","13,420"
667-23-5919,A,회원,여성,패션/액세서리,"100,568",5,"502,840",2019-01-14,12:52,신용카드,"483,500","19,340"
843-01-4703,B,회원,여성,홈데코,"36,795",9,"331,155",2019-01-05,19:50,신용카드,"318,420","12,735"
743-88-1662,C,비회원,남성,스포츠/여행,"99,310",7,"695,170",2019-02-22,18:17,신용카드,"668,430","26,740"
595-86-2894,C,회원,남성,패션/액세서리,"100,859",4,"403,436",2019-02-06,17:20,신용카드,"387,920","15,516"
182-69-8360,B,비회원,여성,컴퓨터 주변기기,"24,596",4,"98,384",2019-01-30,13:32,신용카드,"94,600","3,784"
289-15-7034,A,회원,남성,스포츠/여행,"85,623",4,"342,492",2019-01-11,10:37,신용카드,"329,320","13,172"
462-78-5240,C,비회원,여성,컴퓨터 주변기기,"27,674",2,"55,348",2019-03-19,14:35,현금,"53,220","2,128"
868-52-7573,B,비회원,여성,식품/음료,"103,678",5,"518,390",2019-01-14,12:09,현금,"498,450","19,940"
153-58-4872,C,회원,여성,식품/음료,"77,886",4,"311,544",2019-03-01,15:32,신용카드,"299,560","11,984"
662-72-2873,A,비회원,여성,식품/음료,"42,578",5,"212,890",2019-01-06,13:58,신용카드,"204,700","8,190"
525-88-7307,B,회원,남성,스포츠/여행,"78,853",1,"78,853",2019-01-31,13:19,현금,"75,820","3,033"
689-16-9784,C,비회원,남성,식품/음료,"48,641",6,"291,846",2019-03-11,13:37,현금,"280,620","11,226"
725-56-0833,A,비회원,여성,헬스/뷰티,"33,613",10,"336,130",2019-02-20,16:49,신용카드,"323,200","12,930"
394-41-0748,C,회원,여성,패션/액세서리,"56,233",9,"506,097",2019-01-27,14:55,신용카드,"486,630","19,467"
596-42-3999,B,비회원,남성,식품/음료,"18,949",7,"132,643",2019-03-10,14:04,신용카드,"127,540","5,103"
541-89-9860,C,회원,여성,패션/액세서리,"83,699",3,"251,097",2019-02-15,12:31,현금,"241,440","9,657"
173-82-9529,B,비회원,여성,패션/액세서리,"39,468",10,"394,680",2019-01-26,14:51,현금,"379,500","15,180"
563-36-9814,A,회원,남성,컴퓨터 주변기기,"79,893",1,"79,893",2019-02-13,18:27,신용카드,"76,820","3,073"
308-47-4913,A,회원,여성,스포츠/여행,"54,350",10,"543,500",2019-03-09,12:45,신용카드,"522,600","20,900"
885-17-6250,A,비회원,여성,헬스/뷰티,"82,930",1,"82,930",2019-03-06,10:36,신용카드,"79,740","3,190"
726-27-2396,A,비회원,여성,헬스/뷰티,"80,600",5,"403,000",2019-01-24,20:36,신용카드,"387,500","15,500"
316-01-3952,A,비회원,여성,식품/음료,"56,441",5,"282,205",2019-03-13,14:16,신용카드,"271,350","10,855"
760-54-1821,B,비회원,남성,홈데코,"14,134",9,"127,206",2019-03-15,10:26,현금,"122,310","4,896"
793-10-3222,B,회원,여성,헬스/뷰티,"42,702",6,"256,212",2019-03-05,13:30,신용카드,"246,360","9,852"
346-12-3257,B,회원,남성,컴퓨터 주변기기,"20,010",9,"180,090",2019-03-04,16:28,현금,"173,160","6,930"
110-05-6330,C,비회원,여성,식품/음료,"41,007",6,"246,042",2019-03-25,20:18,신용카드,"236,580","9,462"
651-61-0874,C,비회원,남성,홈데코,"48,069",4,"192,276",2019-03-12,20:04,신용카드,"184,880","7,396"
236-86-3015,C,회원,남성,홈데코,"14,539",1,"14,539",2019-02-04,13:38,신용카드,"13,980",559
831-64-0259,B,비회원,여성,패션/액세서리,"41,340",5,"206,700",2019-02-22,10:43,신용카드,"198,750","7,950"
587-03-7455,C,회원,여성,패션/액세서리,"101,702",7,"711,914",2019-02-16,17:30,신용카드,"684,530","27,384"
882-40-4577,A,회원,남성,스포츠/여행,"69,950",4,"279,800",2019-01-19,15:28,신용카드,"269,040","10,760"
732-67-5346,A,비회원,남성,식품/음료,"14,342",5,"71,710",2019-01-11,19:07,신용카드,"68,950","2,760"
725-32-9708,B,회원,여성,패션/액세서리,"71,458",4,"285,832",2019-01-04,19:01,현금,"274,840","10,992"
256-08-8343,A,비회원,여성,홈데코,"58,791",4,"235,164",2019-03-04,19:48,신용카드,"226,120","9,044"
372-26-1506,C,비회원,여성,패션/액세서리,"24,773",5,"123,865",2019-01-28,19:24,신용카드,"119,100","4,765"
244-08-0162,B,비회원,여성,헬스/뷰티,"35,578",10,"355,780",2019-01-02,13:00,현금,"342,100","13,680"
569-71-4390,B,비회원,남성,스포츠/여행,"22,745",2,"45,490",2019-01-25,14:29,신용카드,"43,740","1,750"
132-23-6451,A,회원,남성,헬스/뷰티,"21,809",5,"109,045",2019-01-04,13:21,현금,"104,850","4,195"
696-90-2548,A,비회원,남성,스포츠/여행,"26,874",3,"80,622",2019-03-10,18:55,신용카드,"77,520","3,102"
472-15-9636,A,비회원,남성,홈데코,"52,967",8,"423,736",2019-03-22,19:36,신용카드,"407,440","16,296"
268-03-6164,B,비회원,남성,헬스/뷰티,"99,954",1,"99,954",2019-01-25,16:28,신용카드,"96,110","3,844"
750-57-9686,C,비회원,여성,홈데코,"47,195",4,"188,780",2019-01-08,13:48,신용카드,"181,520","7,260"
186-09-3669,C,회원,여성,헬스/뷰티,"84,770",1,"84,770",2019-01-22,10:57,신용카드,"81,510","3,260"
848-07-1692,B,비회원,여성,헬스/뷰티,"59,509",2,"119,018",2019-01-12,17:13,신용카드,"114,440","4,578"
745-71-3520,A,회원,여성,컴퓨터 주변기기,"26,229",7,"183,603",2019-02-04,10:23,현금,"176,540","7,063"
266-76-6436,C,회원,여성,식품/음료,"40,144",3,"120,432",2019-03-28,13:57,신용카드,"115,800","4,632"
740-22-2500,C,비회원,여성,컴퓨터 주변기기,"87,412",3,"262,236",2019-01-23,13:29,현금,"252,150","10,086"
271-88-8734,C,회원,여성,패션/액세서리,"101,098",10,"1,010,980",2019-02-08,13:00,신용카드,"972,100","38,880"
301-81-8610,B,회원,남성,패션/액세서리,"26,437",8,"211,496",2019-03-19,19:42,신용카드,"203,360","8,136"
489-64-4354,C,비회원,남성,패션/액세서리,"16,931",1,"16,931",2019-03-09,15:36,현금,"16,280",651
198-84-7132,B,회원,남성,패션/액세서리,"42,234",9,"380,106",2019-01-02,13:40,현금,"365,490","14,616"
269-10-8440,A,회원,남성,헬스/뷰티,"55,297",7,"387,079",2019-01-21,18:01,현금,"372,190","14,889"
650-98-6268,B,회원,여성,식품/음료,"21,705",3,"65,115",2019-03-20,13:53,신용카드,"62,610","2,505"
741-73-3559,B,비회원,남성,스포츠/여행,"69,961",5,"349,805",2019-02-27,17:27,현금,"336,350","13,455"
325-77-6186,A,회원,여성,홈데코,"94,276",10,"942,760",2019-03-08,10:53,신용카드,"906,500","36,260"
286-75-7818,B,비회원,남성,패션/액세서리,"71,843",2,"143,686",2019-01-31,19:48,신용카드,"138,160","5,526"
574-57-9721,C,비회원,남성,식품/음료,"45,001",2,"90,002",2019-03-08,16:53,신용카드,"86,540","3,462"
459-50-7686,A,비회원,여성,컴퓨터 주변기기,"24,398",6,"146,388",2019-01-13,19:14,신용카드,"140,760","5,628"
616-87-0016,B,비회원,남성,패션/액세서리,"99,362",7,"695,534",2019-03-09,14:36,신용카드,"668,780","26,754"
837-55-7229,B,비회원,여성,패션/액세서리,"49,338",1,"49,338",2019-02-22,18:19,신용카드,"47,440","1,898"
751-69-0068,C,비회원,남성,스포츠/여행,"103,210",9,"928,890",2019-03-19,19:09,신용카드,"893,160","35,730"
257-73-1380,C,회원,남성,스포츠/여행,"86,247",4,"344,988",2019-01-20,16:51,신용카드,"331,720","13,268"
345-08-4992,A,비회원,남성,홈데코,"35,350",6,"212,100",2019-03-08,15:37,신용카드,"203,940","8,160"
549-96-4200,C,회원,남성,식품/음료,"17,722",4,"70,888",2019-03-08,20:15,신용카드,"68,160","2,728"
810-60-6344,C,비회원,여성,컴퓨터 주변기기,"42,494",8,"339,952",2019-02-07,14:38,신용카드,"326,880","13,072"
450-28-2866,C,회원,남성,식품/음료,"18,138",5,"90,690",2019-01-15,19:25,현금,"87,200","3,490"
394-30-3170,B,회원,여성,스포츠/여행,"91,967",8,"735,736",2019-03-22,19:35,신용카드,"707,440","28,296"
138-17-5109,A,회원,여성,홈데코,"92,778",9,"835,002",2019-01-15,15:42,신용카드,"802,890","32,112"
192-98-7397,C,비회원,남성,패션/액세서리,"13,291",1,"13,291",2019-01-08,14:11,신용카드,"12,780",511
301-11-9629,A,비회원,여성,스포츠/여행,"19,864",7,"139,048",2019-01-15,10:43,현금,"133,700","5,348"
390-80-5128,B,회원,여성,헬스/뷰티,"19,916",1,"19,916",2019-01-28,17:58,신용카드,"19,150",766
235-46-8343,C,회원,남성,식품/음료,"28,766",10,"287,660",2019-02-14,11:26,신용카드,"276,600","11,060"
453-12-7053,C,비회원,남성,패션/액세서리,"47,570",3,"142,710",2019-03-10,17:38,신용카드,"137,220","5,490"
296-11-7041,B,회원,여성,헬스/뷰티,"28,153",1,"28,153",2019-01-12,20:07,신용카드,"27,070","1,083"
449-27-2918,B,회원,여성,스포츠/여행,"40,685",1,"40,685",2019-03-26,11:02,신용카드,"39,120","1,565"
891-01-7034,B,비회원,여성,컴퓨터 주변기기,"77,698",6,"466,188",2019-01-01,19:07,현금,"448,260","17,928"
744-09-5786,B,비회원,남성,컴퓨터 주변기기,"22,890",6,"137,340",2019-01-02,18:50,현금,"132,060","5,280"
727-17-0390,A,비회원,여성,식품/음료,"66,154",5,"330,770",2019-03-16,12:43,신용카드,"318,050","12,720"
568-88-3448,A,비회원,남성,헬스/뷰티,"26,000",1,"26,000",2019-03-03,15:09,신용카드,"25,000","1,000"
187-83-5490,A,회원,남성,컴퓨터 주변기기,"21,601",4,"86,404",2019-01-31,13:47,현금,"83,080","3,324"
767-54-1907,B,회원,여성,패션/액세서리,"30,742",5,"153,710",2019-02-13,16:59,현금,"147,800","5,910"
710-46-4433,B,회원,여성,식품/음료,"80,496",9,"724,464",2019-02-15,14:15,신용카드,"696,600","27,864"
